Document Number,Sl_no,Question,Question_Type
4,10,What are the six major surveys reviewed by the team from POSHAN to track progress towards global nutrition targets in India?,Summary
4,11,Why is it necessary for the World Health Assembly to track its global nutrition targets in the same manner across all countries? What does this require?,Analytical
4,12,What are the two surveys that have generated data at the district level among the six reviewed by the team from POSHAN? Which one has generated a complete summary report for all indicators for the most recent data and which one has not generated any report with documentation and data sets publicly available?,Analytical
4,13,"What is the average length of time between NHS and DHS, and 4.5 years for the HDS? Which two surveys provide the most recent data among the six reviewed?",Factual
4,14,Why are some countries' progress in meeting the global nutrition targets over time not easily determined? What is one reason given by the team from POSHAN to explain this challenge?,Summary
4,15,"What is a significant geographic challenge that is discussed as an obstacle for comparing the existing data on levels and trends in nutrition, which the team from POSHAN reviewed among six surveys?",Factual
4,16,"What does the World Health Assembly do to track its global nutrition targets in all countries? What are the six major surveys that were reviewed by the team from POSHAN to understand why, if you could yield the required data, it is unclear why, and how this information was documented?",Summary
4,17,What is the difference between the reference age group of the NHS 3 and that used by some other surveys reviewed by the team from POSHAN for child anthropometry? What are the five most recent surveys for which data has been generated on all six global nutrition targets?,Analytical
4,18,"How many years does it take to generate data between NHFS and HDS, and 4.5 years for the DHS? Which two surveys have consistently collected data on nutrition in more than nine years of their survey series?",Factual
4,19,What are the six major surveys reviewed by the team from POSHAN to track progress towards global nutrition targets in India? What is one reason given for the challenge of comparing the existing data on levels and trends in nutrition that the team from POSHAN reviewed among these six surveys?,Summary
4,20,"What are the two surveys that have a complete summary factsheet, and which survey has only a summary factsheet or no report at all? What is one reason given by the team from POSHAN to explain this difference in how data sets are publicly available?",Analytical
5,1,What is the name of the technology that Samantha Budd Haerlein represents?,Factual
5,2,Which disease does DCT's lead product apply to?,Factual
5,3,What is the primary focus of Rhoda Au's Framingham Heart Study since its inception in 1948?,Factual
5,4,How many participants does the Framingham cohort consist of? What is their age range?,Factual
5,5,What are the key challenges that Rhoda Au is facing with regards to data sharing from her study?,Analytical
5,6,"According to a 2016 Cochrane review, what is the sensitivity of the MMSE for differentiating between neurodegenerative disorders like AD and vascular dementia?",Factual
5,7,How does the accuracy of DCT's cognitive assessment test (clock drawing) compare with that of MMSE in a validation study using a large patient dataset?,Analytical
5,8,What is the main innovation of Segerter's technology for EMR retrieval?,Factual
5,9,Why are some researchers resistant to sharing their data? What do funders at NIA and NHBLI say about this?,Analytical
5,10,What is the main innovation of DCT's technology for the clock drawing test that makes it a better screening tool than MMSE?,Factual
5,11,How can you use the digital pen technology to make the cognitive assessment process more efficient and cost-effective?,Application
5,12,"What kind of data do researchers face challenges with setting up in East Asia, particularly when they want to recruit patients for studies or trials? How do you see additional opportunities for external partnerships with academic studies and patient groups evolving in the near future?",Inference
5,13,What are some of the challenges that Segerter's technology has to face regarding access to EMR from different providers? Is there any plan to block the access by those providers?,Analytical
5,14,How can Segerter's technology be used for identifying potential patients for clinical trials or academic studies?,Application
5,15,Are there any plans to include other types of data besides those that you are currently working on? How do you see additional opportunities for external partnerships with academic studies and patient groups evolving in the near future?,Inference
5,16,What does DCT's lead product apply to?,Factual
5,17,Is there any plan to include additional sources of medical information besides the ones you are currently working on? How do you see that technology evolving in the near future?,Inference
5,18,What is the primary purpose of Samantha Budd Haerlein's welcome/introduction segment of the session?,Summary
5,19,"How can you use DCT's technology to improve your healthcare workforce? Do you think the technology needs to be administered by a physician, or could a nurse or PA do it?",Application
5,20,What is the name of Segerter's CEO and Co-Founder? What are some of the key challenges that they have faced while developing their platform?,Summary
6,1,What is the name of the company that aims to detect cognitive change before overt symptoms?,Factual
6,2,What is the purpose of the Framingham Heart Study?,Summary
6,3,What is Segerter? What are its three main elements?,Explanation
6,4,What are some of the challenges in setting up cohort studies in East Asian countries?,Factual
6,5,Why are some researchers resistant to sharing data from the Framingham Heart Study? Who funds it at NIA and NHBLI?,Inference
6,6,What is the name of the study that aims to detect cognitive change before overt symptoms using a digital pen?,Factual
6,7,What are the results of DCTClock in diagnosing dementia compared to MMSE?,Analytical
6,8,What are the differences between the Framingham Heart Study and other cohort studies?,Comparison
6,9,How is Segerter's system used for sharing patient data? Does it require a subscription or is it available to everyone?,Inference
6,10,What are the benefits and drawbacks of using DCTClock as an assessment tool in primary care settings?,Application
6,11,"How can Segerter's system be used to identify patients with a risk for, or who have not yet been diagnosed with a disease? What are some ethical concerns involved with this use of the technology?",Inference
6,12,"What is the name of the other technology that uses digital pen to assess cognitive impairment in people with neurodegenerative disorders such as Alzheimer's and Parkinson's, including vascular dementia? What are its differentiators from traditional tests for assessing these diseases?",Factual
6,13,Why do you think the field of Dementia is challenged in agreeing on one gold standard cognitive test? How does this impact DCTClock and Segerter's work?,Inference
6,14,"What are the similarities and differences between MMSE and DCTClock, and what were the results for these tests when tested together in a large validation study?",Comparison
6,15,How does Segerter's system help to address the challenge of having too many different sources of data that are not integrated with each other? Why would someone be interested in using this service?,Application
6,16,What do you think is the most valuable information provided by the Framingham Heart Study for Alzheimer's disease research? What does it have that other cohorts do not?,Summary
6,17,How would using Segerter's system impact the cost of sharing data from the Framingham Heart Study? Is this a new business model in healthcare and how does it work?,Inference
6,18,"What are some other sources of medical information that could be added to Segerter's system for better patient data tracking, such as diet or sleep trackers?",Application
6,19,How is the use of technology by academic and industry studies like DCT and Segerter likely to impact how these studies are funded in the future? Will this be a new business model for Segerter and other companies that provide similar services?,Inference
6,20,"What are some of the most valuable biomarkers or clinical trial outcome measures that DCT has identified through their research, and what do they think would be good to embed in future trials and studies? What is the potential for this information based on the Framingham Heart Study?",Inference
7,1,What was the aim of the Global Health (GH) private sector engagement project?,Factual
7,2,Who were interviewed for the study on the GH private sector strategy?,Factual
7,3,What are the three groups of opportunities mentioned in the context? What is each opportunity category based on?,Analytical
7,4,Which five models were identified by the project for engaging the private sector?,Factual
7,5,What does the term 'creative capitalism' refer to? How is this term relevant in the context?,Factual
7,6,Explain the concept of 'creative capitalism'.,Explanation
7,7,How can BMGF adapt its operations and capabilities to take full advantage of opportunities for engaging the private sector in pursuit of programmatic needs?,Application
7,8,What are some key external barriers that prevent private sector participation in GH? What is the primary motivation behind this reluctance to participate?,Analytical
7,9,What would be needed for BMGF's ability to pursue private sector opportunities depending on the organizational capabilities within the Global Health (GH) division? What does 'control' over PPP mean in the context?,Analytical
7,10,How will the engagement with the private sector be managed at the most senior levels of BMGF leadership?,Application
7,11,Explain how the 'brokering' model for engaging the private sector is appropriate when there are several groups that can address the need in question. Is this approach similar to the one used by GAIN?,Explanation
7,12,What would be needed from the human resources side for BMGF to evolve towards a portfolio of different private sector engagement models?,Application
7,13,Explain how the 'shaping the environment' model for engaging the private sector can work. Why would this approach be less suitable for a push model like the one used by GAVI and AMCs?,Explanation
7,14,"What are some key external factors that might require more time, effort, or investment to overcome when pursuing a 'shaping the environment' model?",Analysis
7,15,Explain what would be required from the human resources side if BMGF is willing to evolve towards using more of its organizational assets to engage with the private sector in different ways. Why does this need not require a centralized 'first point of entry' for unsolicited opportunities?,Application
7,16,"How would BMGF's ability to control its agenda and influence impact change, according to the context, when it takes a central role in shaping the environment? Why might this require more time and investment?",Analysis
7,17,What is the primary motivation behind the private sector's reluctance to participate in solving GH problems? What are some common concerns voiced by BMGF staff regarding a 'brokering' model for engaging with the private sector?,Factual
7,18,"What does the 'first point of entry' mean in this context? What would be required to create such a role at the BMGF level, and what kind of information would be shared among the key account managers?",Application
7,19,"How does the 'shaping the environment' model for engaging with the private sector compare to the push-push-intermediaries (e.g., PPPs)? Why is this approach less well-established for the push-push model?",Explanation
7,20,What would be required from BMGF's human resources side if it is willing to evolve towards using more of its organizational assets to engage with the private sector in different ways? Why does this not require a centralized 'first point of entry' for unsolicited opportunities?,Application
8,1,How has the lack of leadership within the management team been observed by ACHAP's staff?,Factual
8,2,What are some significant changes that have taken place in the proposed new organizational structure for ACHAP?,Factual
8,3,How does the new management team's responsibility for implementation and development differ from the previous team? What is the nature of this change?,Analytical
8,4,What are some implications that could have resulted from the senior management team working in silos as described by ACHAP's staff?,Factual
8,5,How has the move to a new organizational structure been presented to ACHAP's staff? Are there any significant changes that have taken place with this structure?,Summary
8,6,What is the proposed role of the Director of Operations in the new management team at ACHAP?,Factual
8,7,What are some ways that a lack of leadership by a senior management team can impact an organization? Why is this so?,Explanation
8,8,"How does ACHAP's current structure differ from the proposed new structure, as discussed in the executive summary for all staff?",Factual
8,9,What is the proposed role of a Director of Program Development and Implementation at ACHAP?,Factual
8,10,"What are some advantages or disadvantages that could have resulted from moving from a district focus to a regional one for government embedding in the new management structure, as proposed in the executive summary for all staff?",Comparison
8,11,How does ACHAP's current implementation and development functions differ from the proposed new arrangement of having a separate director for each? What are some benefits or drawbacks with this change?,Explanation
8,12,"What is the main reason that ACHAP has an impressive individual talent pool but lacks motivation among its staff, as observed by the staff themselves?",Factual
8,13,How can ACHAP ensure a smooth transition to its new organizational structure? What are some steps that could be taken to facilitate this process?,Application
8,14,"What is the main reason for the current lack of motivation among ACHAP's staff, as observed by their staff?",Factual
8,15,What are some benefits that would result from having a clear and separate relationship between seconded employees and ACHAP for the implementation plan?,Summary
8,16,"How do the Board and senior leadership need to act on the issues of board structure and composition, as proposed in the recommendations to improve Board-Organization Interactions, in order to address the above issues with ACHAP's current management team?",Summary
8,17,"What are some benefits that would result from the new structure for a regional focus and an end to government embedding at ACHAP, as proposed in the recommendations for building blocks of Phase 2?",Summary
8,18,"How has the current management structure impacted ACHAP's staff motivation level? What are some reasons that could be behind this lack of motivation, as described in the recommendations to improve Board-Organization Interactions?",Factual
8,19,"What are some implications for an organization if there is a general lack of leadership at the senior level, like ACHAP has experienced? What is one way that this could have affected its staff?",Explanation
8,20,"How can a regional focus with an end to government embedding address some pressing short-term issues with the new management structure at ACHAP, as described in the recommendations for building blocks of Phase 2? What are some possible benefits from this change?",Summary
9,1,What is the historical focus of Bayer with regard to the contraceptive market?,Factual
9,2,"Which BCG team members were present in the interview with Tobias Ludwig on January 18, 2019?",Factual
9,3,"What is a key takeaway from the interview with Bayer's Portfolio and LCM Manager, Tobias Ludwig, as told to Sarah Chamberlain of BCG and Christina Yu of BGC in January 2019?",Factual
9,4,"How does Bayer currently prioritize its market focus areas, particularly with regard to women's needs and demands?",Analytical
9,5,What are the current main areas of focus in terms of R&D by BCG as told to Tobias Ludwig in January 2019?,Analytical
9,6,"According to Tobias Ludwig, what is the approach taken by Bayer when it comes to the development and marketing of low-dose and non-hormonal options for birth control?",Explanation
9,7,"What is one of the key drivers that could change the demand and needs in the women's health space according to Tobias Ludwig, BCG Portfolio Manager",Explanation
9,8,How do the values at Bayer influence its approach to the market with regards to novel technological offerings?,Comparison
9,9,In which areas has BCG recently observed a change in women's needs and demands according to Tobias Ludwig?,Summary
9,10,"What is the current focus of R&D by BCG, as told by Tobias Ludwig, when it comes to gynecological therapies, endometriosis, uterine fibroids, and the contraceptive market?",Summary
9,11,Why did BCG decide to focus on developing its current product (USC) and competitors in the first place?,Explanation
9,12,What is one of the main drivers for the changing landscape of women's needs and demands as per the conversation with Tobias Ludwig?,Factual
9,13,"According to Sarah Chamberlain, what was the approach taken by Bayer when it comes to the development of its hormonal products in the past?",Explanation
9,14,How does BCG decide which projects or R&D activities to pursue according to Tobias Ludwig?,Application
9,15,What is one of the approaches that BCG has taken as told by Christina Yu with regards to the development and marketing of its current product (USC)?,Application
9,16,"According to Tobias Ludwig, what are some of the key challenges BCG is worried about when it comes to developing new products in the women's health space?",Factual
9,17,"What does BCG consider as one of its current focus areas in the development and R&D activities by Tobias Ludwig, January 2019?",Summary
9,18,Which company has been a significant partner for BMGF (Bill & Melinda Gates Foundation) on projects related to the women's health space as per the conversation with Tobias Ludwig in January 2019?,Factual
9,19,Why is BCG excited about hearing potential targets of interest from BMGF according to the conversation with Tobias Ludwig in January 2019?,Factual
9,20,What could be a potential target of interest for BCG as per the conversation with Tobias Ludwig in January 2019?,Application
10,1,What is Bristol-Myers Squibb's current focus as it continues to develop a more biopharmaceutical business?,Inference
10,2,"What is the main factor behind the 9.8% increase in US sales from 2010-11, as stated on the bar chart?",Factual
10,3,According to which geographical area does Bristol-Myers Squibb get most of its revenue from?,Factual
10,4,Which region had the lowest percentage change in sales from 2010 to 2011?,Factual
10,5,"What was the percentage change in Japan/Asia Pacific/Canada's sales from 2010-11, as stated on the bar chart?",Factual
10,6,What is the main driver of Bristol-Myers Squibb's new drug growth pipeline according to its CEO Lambert Andreotti?,Inference
10,7,"How has BMS' business strategy changed over the last five years, as stated by CEO Lambert Andreotti?",Factual
10,8,What was the name of the company acquired for $2.5 billion to treat hepatitis C in 2013?,Factual
10,9,"Why does BMS not have an active strategy for emerging markets as a whole, or any in-house mature products business, as stated in the context?",Inference
10,10,"According to CEO Lambert Andreotti, which areas of R&D is Bristol-Myers Squibb investing heavily in for future drug discovery and development?",Factual
10,11,"What was the percentage increase in US sales from 2010 to 2011, according to the bar chart?",Factual
10,12,According to what does CEO Lambert Andreotti call his strategy going forward?,Inference
10,13,"What are the main areas of focus for BMS' business development, as stated in its strategic priorities going forward, according to the context?",Summary
10,14,How does BMS expect China to rank among international drugmakers by 2014?,Factual
10,15,"What was the percentage change in Latin America/ME/Africa's sales from 2010-11, according to the bar chart?",Factual
10,16,"What are some of the ways that BMS is currently using partnerships to increase its penetration in emerging markets, as stated in the context?",Inference
10,17,"According to what type of diseases does BMS expect to invest heavily in developing the next generation of cancer treatments, as stated by CEO Lambert Andreotti?",Summary
10,18,"Why do you think a ""string of pearls"" strategy might be helpful for Bristol-Myers Squibb in terms of business development, according to the context?",Inference
10,19,"What is BMS' approach to emerging markets as a whole, as stated by its CEO Lambert Andreotti, or for specific geographic areas such as Latin America/ME/Africa?",Inference
10,20,"What is the name of the company that Bristol-Myers Squibb acquired to expand its diabetes franchise in 2012, according to the context?",Factual
11,1,What is one of the key reasons why Senegal's sanitation status is more advanced than that in most developing countries?,Inference
11,2,How many autonomous organizations were created under the 'Primary Objective' of the 'Water Sector Project' to increase the efficiency and enhance the provision of water and sanitation services through public-private partnerships?,Factual
11,3,What was one of the key initiatives that was prolonged by the Long- Term Water Supply Project (PLT)?,Inference
11,4,Which public enterprise is responsible for operating water services in urban areas?,Factual
11,5,Which three key components are the primary objectives of the 'Long Term Water Sector Project' (PLT)?,Analytical
11,6,What was one of the main reasons why the government initiated a broad range of reforms to revitalize progress in the water and sanitation sector?,Inference
11,7,How is the 'Regulation of the Water and Sanitization Sector' described in terms of contracts and directories?,Factual
11,8,What is one of the primary objectives of the 'National Water Supply and Sanitation Program for the Millennium'?,Inference
11,9,"According to which year is the target for having 100% sanitation coverage in urban areas, and 82% access to drinking water in rural areas?",Factual
11,10,What was one of the major challenges for Sanitation Program for Peri-Urban Areas of Dakar (PAQPUD) as mentioned under 'Key Initiatives that Enhanced Sanitation Facilities in Dakar'?,Inference
11,11,What is the name of the autonomous organization responsible for the operation and management of sanitation services in urban and peri-urban areas?,Factual
11,12,"According to which year was SONES dissolved into the National Water Company of Senegal (SONES), Societe Nationale des Eaux de S\u00e9n\u00e9gal, and is responsible for water supply and sanitation services in urban areas?",Factual
11,13,What was the name of the policy letter that expressed the government's commitment to 'promote' and develop alternative on-site or conditional sanitation systems in peri-urban neighborhoods and to develop partnerships with small-scale private enterprise?,Inference
11,14,What was one of the key initiatives that was initiated under the Long Term Water Sector Project (PLT)?,Inference
11,15,How many household sanitation facilities were constructed during the pilot phase of the Sanitization Program for Peri-Urban Areas (PAQPUD) of Dakar?,Factual
11,16,What are some key factors that worked in PAQPUD's favor as mentioned under 'Key Factors'?,Inference
11,17,How do you think the information from this context can be used for real- world situations or problems?,Application
11,18,What is one of the main reasons why the government decided to look for alternative solutions for extending sewerage facilities in Dakar?,Inference
11,19,"Who was the executing agency of PAQPUD, and what were they sub-contracted from?",Factual
11,20,What is one of the primary objectives of the 'Sanitation Program for Peri-Urban Areas of Dakar' (PAQPUD)?,Inference
12,1,What is the title of the document titled on the slide?,Factual
12,2,How many countries were analyzed in this report?,Analytical
12,3,What was the goal of the transformation assessment in this context?,Summary
12,4,"What is the main title of the document in this context, which also contains a subtitle?",Summary
12,5,"According to the report, what percentage of women are self-employed or engaged in agriculture or services across low- and middle-income countries?",Factual
12,6,"Which group is concentrated in informal employment: women, men, or both equally?",Summary
12,7,What was the main goal of the transformation pathway,Analytical
12,8,"According to this context, what is the main title of the report?",Factual
12,9,How many years was the data from the McKinsey Global Institute Power of Parity Report based on?,Analytical
12,10,What is a transformation pathway in this context?,Summary
12,11,"What were the top five countries that have made step-charge gains in WEE outcomes, and what was the main driver of progress?",Analytical
12,12,What is a transformation diagnostic for a country/region?,Summary
12,13,What are the three steps of the WEE pathway in this context,Analytical
12,14,What is the first step of the WEE pathway?,Summary
12,15,Which region has the largest range in unpaid care work distribution?,Factual
12,16,"According to this context, what is a strong element for women's economic empowerment",Summary
12,17,What are the three types of training that can be combined with vocational job training?,Factual
12,18,How many percentage points lower was the rate of child marriage among girls who lived near a garment factory in Bangladesh than those living far away from it?,Factual
12,19,What is a transformation pathway for women's economic empowerment,Summary
12,20,Why was the country case study on Bolivia important in this context?,Inference
13,1,What was the objective of the document titled 'Purpose of this Document' that is shared in this context?,Factual
13,2,In which countries was the data used to understand the trend of reducing legal hurdles that impede women's employment opportunities in Sub-Asia and South Asia?,Analytical
13,3,"What are the three main categories of the elements included in Step 2, according to this context?",Summary
13,4,What are the two steps that the document uses as a framework for its methodology?,Analytical
13,5,"The Step 1 is divided into three main categories. What are these categories, based on this context?",Summary
13,6,"According to the source cited in the infographic, what was the effect of a study from 2008 that discussed the impact of paid parental leave on female labor force participation in developed economies?",Analytical
13,7,"What is the main difference between the 'Access to formal and informal work opportunities' section and the 'Link to access to formal and informal work' section, based on this infographic?",Analytical
13,8,Is there a country-specific trend in the legal framework of South Asia that is not mentioned in this context?,Summary
13,9,The infographic suggests that maternity leave in SSA and India has a different percentage. How much does the percentage differ from the one mentioned for the SSA region as a whole? Why might there be this difference?,Analytical
13,10,"Why do men tend to have lower female labor force participation rates in countries where women are protected by legislation, according to this infographic? What could be the underlying reason?",Analytical
13,11,What is the main issue with regard to maternity leave in India that the context mentions?,Summary
13,12,The infographic notes that the 2011-2014 data used for this study was based on a limited number of countries. What were these countries? Why is it not representative? Are there other limitations in using ILO surveys?,Analytical
13,13,"According to the infographic, what percentage of older women in South Asia receive pensions? Is this better than or worse than their counterparts in Europe and Central Asia? How does this compare to the situation in other regions?",Analytical
13,14,What are the three main sections of the infographic?,Summary
13,15,How can an employer in India make sure that women have incentives to hire and retain them? Why might this be necessary for some employers?,Analytical
13,16,"What is the main trend of reducing legal hurdles across various regions, as suggested by the infographic?",Summary
13,17,What would happen if the 2011-2014 data used in this study was based on a larger number of countries?,Analytical
13,18,"According to the infographic, what percentage of women in India are engaged in agriculture? What is the main trend mentioned for the Indian agricultural sector? Is this higher or lower than the global average for SSA?",Summary
13,19,"What is the implication of the fact that women, globally, earn 23% less than men? What might be some underlying reasons for this difference?",Analytical
13,20,"In which two regions was there a decline in legal hurdles affecting women's employment opportunities in the years 1960 and 2021, according to the infographic? Why might this be the case?",Summary
14,1,"What is the purpose of the document titled ""Women's Economic Empowerment (WEE) Transformation Assessment""?",Factual
14,2,What are the two main objectives mentioned in the first section of the context?,Factual
14,3,What is the title of the first main point in the second section of the context?,Factual
14,4,What does the document suggest about the relationship between unpaid care work and women's economic empowerment?,Analysis
14,5,"What are the key takeaways from the infographic titled ""CONTENTS"" which is part of a presentation? What can be inferred about the content?",Summary
14,6,"How does the section labeled ""Alleviating the Unpaid Care Burden Dramatically Increases LFP, Wages and Quality of Jobs"" explain the impact on education outcomes, access to work and legal rights?",Explanation
14,7,"What is the color-coding system used in the infographic titled ""UNPAID CARE WORK IS LINKED TO EDUCATION OUTCOMES, ACCESS TO WORK, AND LEGAL RIGHTS""? What can be inferred from this title?",Comparison
14,8,"How does the section titled ""GENDER GAP IN PENSIONS IS WORST IN MENA, WHILE SSA AND SOUTH ASIA HAVE RELATIVELY SMALL GAPS."" explain gender gaps in pensions",Explanation
14,9,"What is the purpose of the infographic titled ""GUARANTEED MATERNITY LEAVE CAN HAVE POSITIVE EFFECTS ON FEMALE LFP RATES, BUT IT MUST BE IMPLEMENTED PROPERLY""? What are some challenges in implementing this practice?",Comparison
